"yr","mon","Tavg"
2009,7,17.7751612903226
2009,8,20.0577419354839
2009,9,18.4708333333333
2009,10,15.4796774193548
2009,11,9.944
2009,12,6.52693548387097
2010,1,6.1808064516129
2010,2,6.50607142857143
2010,3,8.36354838709677
2010,4,12.596
2010,5,13.6608064516129
2010,6,17.3868333333333
2010,7,20.7512903225806
2010,8,21.3622580645161
2010,9,17.9813333333333
2010,10,12.8688709677419
2010,11,8.16616666666667
2010,12,6.25225806451613
2011,1,7.1908064516129
2011,2,7.83875
2011,3,9.5791935483871
2011,4,15.7775
2011,5,16.6395161290323
2011,6,17.1145
2011,7,18.1922580645161
2011,8,19.4420967741935
2011,9,18.6173333333333
2011,10,15.9774193548387
2011,11,9.90583333333333
2011,12,6.96548387096774
2012,1,6.25693548387097
2012,2,6.62051724137931
2012,3,12.2304838709677
2012,4,8.90916666666667
2012,5,14.7233870967742
2012,6,16.4781666666667
2012,7,18.3911290322581
2012,8,18.7993548387097
2012,9,18.4963333333333
2012,10,12.7111290322581
2012,11,8.13083333333333
2012,12,7.59983870967742
2013,1,7.35467741935484
2013,2,6.44678571428571
2013,3,8.5208064516129
2013,4,10.6886666666667
2013,5,11.6532258064516
2013,6,16.4668333333333
2013,7,21.8888709677419
2013,8,21.0409677419355
2013,9,19.4661666666667
2013,10,14.5122580645161
2013,11,8.26566666666667
2013,12,6.23403225806452
2014,1,7.35338709677419
2014,2,6.46535714285714
2014,3,9.80564516129032
2014,4,12.7901666666667
2014,5,13.8487096774194
2014,6,17.1088333333333
2014,7,19.3751612903226
2014,8,18.4577419354839
2014,9,18.5526666666667
2014,10,16.4893548387097
2014,11,9.54466666666667
2014,12,6.22661290322581
2015,1,5.66548387096774
2015,2,5.32392857142857
2015,3,9.73693548387097
2015,4,12.8333333333333
2015,5,15.4798387096774
2015,6,19.4313333333333
2015,7,20.586935483871
2015,8,19.1474193548387
2015,9,16.4185
2015,10,13.6790322580645
2015,11,11.1241666666667
2015,12,9.21774193548387
2016,1,7.71435483870968
2016,2,6.75896551724138
2016,3,7.53177419354839
2016,4,9.91566666666667
2016,5,12.9985483870968
2016,6,17.2846666666667
2016,7,21.736935483871
2016,8,21.4266129032258
2016,9,18.3623333333333
2016,10,14.5745161290323
2016,11,8.47283333333333
2016,12,7.63693548387097
2017,1,5.60306451612903
2017,2,8.42410714285714
2017,3,9.90338709677419
2017,4,13.6936666666667
2017,5,15.933064516129
2017,6,19.3256666666667
2017,7,20.0464516129032
2017,8,20.221935483871
2017,9,16.4255
2017,10,16.7946774193548
2017,11,9.20916666666667
2017,12,6.36048387096774
2018,1,6.67564516129032
2018,2,5.35642857142857
2018,3,6.26854838709677
2018,4,10.95
2018,5,13.915
2018,6,17.047
2018,7,19.1166129032258
2018,8,21.8262903225806
2018,9,20.6566666666667
2018,10,13.5703225806452
2018,11,8.85933333333333
2018,12,8.5091935483871
2019,1,5.87258064516129
2019,2,8.78714285714286
2019,3,9.98322580645161
2019,4,10.1276666666667
2019,5,14.6941935483871
2019,6,13.7348333333333
2019,7,18.8891935483871
2019,8,18.2783870967742
2019,9,16.8146666666667
2019,10,12.3570967741935
2019,11,7.29383333333333
2019,12,6.615
2020,1,6.58209677419355
2020,2,8.92051724137931
2020,3,8.38693548387097
2020,4,10.1825
2020,5,16.8470967741935
2020,6,15.9758333333333
2020,7,22.3175806451613
2020,8,19.2837096774194
2020,9,18.2973333333333
2020,10,11.9122580645161
2020,11,10.6473333333333
2020,12,6.17451612903226
