"Day","Month","Year","MinTemp","MaxTemp"
10,2,1983,-5.31,3.03
11,2,1983,-4.39,1.2
12,2,1983,-5.66,0.76
13,2,1983,-6.77,1.88
14,2,1983,-8.54,3.3
15,2,1983,-5.12,2.34
16,2,1983,-5.16,5.04
17,2,1983,-3.13,2.97
18,2,1983,0.75,8.08
19,2,1983,7.38,10.78
20,2,1983,7.69,10.04
21,2,1983,8.17,10.42
22,2,1983,8.88,11.02
23,2,1983,10.94,12.29
24,2,1983,11.14,14.89
25,2,1983,10.75,11.96
26,2,1983,5.99,8.55
27,2,1983,3.82,9.32
28,2,1983,2.68,11.67
1,3,1983,1.34,14.74
2,3,1983,2.95,17.94
3,3,1983,2.96,18.83
4,3,1983,6.57,17.53
5,3,1983,5.1,15.15
6,3,1983,2.68,16.3
7,3,1983,3.64,18.31
8,3,1983,6.15,18.2
9,3,1983,7.63,16.06
10,3,1983,5.4,15.79
11,3,1983,5.45,14.37
12,3,1983,5.17,16
13,3,1983,7.56,13.94
14,3,1983,5.46,9.91
15,3,1983,4.85,8.15
16,3,1983,1.05,10.45
17,3,1983,3.18,14.56
18,3,1983,5.48,19.29
19,3,1983,5.67,19.98
20,3,1983,8.23,18.2
21,3,1983,7.41,14.06
22,3,1983,1.91,13.24
23,3,1983,2.86,13.77
24,3,1983,4.61,8.87
25,3,1983,-0.88,8.93
26,3,1983,2.71,9.7
27,3,1983,0.67,6.48
28,3,1983,1.1,7.51
29,3,1983,1.74,9.01
30,3,1983,2.16,9.72
31,3,1983,5.43,8.43
1,4,1983,2.77,7.67
2,4,1983,-2.23,6.99
3,4,1983,-1.01,7.8
4,4,1983,3.5,7.84
5,4,1983,2.93,7.92
6,4,1983,5.93,9.15
7,4,1983,6.75,9.05
8,4,1983,7.38,11.12
9,4,1983,8.51,14.58
10,4,1983,5.77,11.98
11,4,1983,1.84,8.96
12,4,1983,-3.22,12.49
13,4,1983,1.58,18.7
14,4,1983,3.37,20.57
15,4,1983,9.28,22.85
16,4,1983,9.35,19.22
17,4,1983,6.98,9.83
18,4,1983,2.69,8.06
19,4,1983,0.76,6.12
20,4,1983,1.71,6.79
21,4,1983,1.2,7.89
22,4,1983,3.33,7.58
23,4,1983,1.01,4.88
24,4,1983,3.19,6.28
25,4,1983,2.91,6.04
26,4,1983,2.22,6.58
27,4,1983,2.91,7.23
28,4,1983,2.77,9.21
29,4,1983,3.24,10
30,4,1983,4.72,8.61
1,5,1983,2.54,9.05
2,5,1983,5.12,9.6
3,5,1983,7.58,10.93
4,5,1983,6.57,16.42
5,5,1983,8.2,10.19
6,5,1983,7.13,12.3
7,5,1983,6.52,14.06
8,5,1983,4.43,9.86
9,5,1983,5.95,10.95
10,5,1983,3.65,7.84
11,5,1983,6.01,9.57
12,5,1983,5.72,9.66
13,5,1983,5.32,9.03
14,5,1983,4.56,9.19
15,5,1983,3.19,8.66
16,5,1983,3.38,6.56
17,5,1983,2.96,8.31
18,5,1983,4.87,10.09
19,5,1983,2.61,9.56
20,5,1983,1.85,9.23
21,5,1983,2.31,7.94
22,5,1983,0.38,11.46
23,5,1983,4.79,12.46
24,5,1983,1.49,15.08
25,5,1983,3.56,20.07
26,5,1983,5.6,20.67
27,5,1983,5.84,19.38
28,5,1983,7.24,16
29,5,1983,6.26,15.04
30,5,1983,8.81,13.25
31,5,1983,7.78,11.91
1,6,1983,8.73,13.98
2,6,1983,5.86,16.79
3,6,1983,8.75,20.57
4,6,1983,11.73,26.24
5,6,1983,13.19,18.45
6,6,1983,12.09,18.68
7,6,1983,11.27,19.31
8,6,1983,11.07,18.96
9,6,1983,9.58,24.07
10,6,1983,13.48,24.31
11,6,1983,12.67,22.03
12,6,1983,12.33,20.69
13,6,1983,8.5,21.49
14,6,1983,10.19,26.2
15,6,1983,12.14,26.85
16,6,1983,13.44,27.01
17,6,1983,11.8,24.91
18,6,1983,11.71,25.62
19,6,1983,10.51,22.22
20,6,1983,8.75,22.6
21,6,1983,10.48,19.71
22,6,1983,11.21,22.3
23,6,1983,11.21,21.14
24,6,1983,12.98,19.26
25,6,1983,11.58,19.25
